"","valgen","crotal","cana","npartosULT","fechapartoULT","nvivosULT","ncontrULT","diasULT","ordeULT","tipoULT","laPROM","diasPROM","orderPROM","tipoPROM","acumPROM"
"163","11,73","83388","17","6","19/01/2024","1","5","190","159","140","5","183","175","155","877"
"164","13,46","83395","17","7","09/01/2024","2","6","200","266","232","7","171","207","185","1446"
"165","-5,16","83400","17","7","16/01/2024","2","3","133","83","120","6","148","122","130","730"
"166","-6,11","83403","17","6","07/02/2024","2","6","171","169","181","5","181","158","134","792"
"167","36,3","83405","17","6","09/01/2024","2","5","169","183","224","6","178","223","211","1337"
"168","5,04","83419","17","7","02/02/2024","1","6","176","216","194","7","175","204","173","1429"
"169","11,96","83420","17","7","29/01/2024","2","6","180","219","219","5","175","204","184","1020"
"170","10,41","83424","17","7","29/01/2024","1","6","180","198","158","7","167","189","172","1320"
"171","-3,2","83426","17","6","31/01/2024","1","5","147","182","165","3","167","194","164","582"
"172","2,66","83429","17","7","17/01/2024","1","4","132","70","91","5","158","153","146","764"
"173","11,43","99043","23","1","22/02/2024","1","5","156","158","144","1","156","158","144","158"
"174","26,08","99044","23","1","03/05/2024","1","3","85","96","123","1","85","96","123","96"
"175","19,43","99048","23","1","19/04/2024","1","4","105","90","112","1","105","90","112","90"
"176","3,89","99049","23","1","20/03/2024","1","5","137","74","66","1","137","74","66","74"
"177","21,48","99053","23","1","22/04/2024","2","3","96","72","94","1","96","72","94","72"
"178","8,96","99054","23","1","05/05/2024","1","3","83","67","92","1","83","67","92","67"
"179","31,76","99057","23","1","27/04/2024","1","4","105","112","145","1","105","112","145","112"
"180","14,96","99062","23","1","27/04/2024","1","4","105","104","139","1","105","104","139","104"
"181","16,23","99065","23","1","13/03/2024","1","5","137","112","103","1","137","112","103","112"
"182","40,09","99070","23","1","12/02/2024","1","6","171","222","180","1","171","222","180","222"
"183","12,31","99073","23","1","10/05/2024","1","3","78","69","111","1","78","69","111","69"
"184","16,12","99074","23","1","16/02/2024","1","5","162","143","118","1","162","143","118","143"
"185","29,64","99076","23","1","16/04/2024","1","4","105","135","173","1","105","135","173","135"
"186","20,46","99088","23","1","02/04/2024","1","5","137","111","138","1","137","111","138","111"
"187","31,88","99089","23","1","07/03/2024","1","3","82","109","146","1","82","109","146","109"
"188","24,22","99090","23","1","28/04/2024","1","4","105","107","139","1","105","107","139","107"
"189","42,99","99094","23","1","30/04/2024","1","3","88","133","193","1","88","133","193","133"
"190","30,3","99097","23","1","04/05/2024","1","3","84","55","77","1","84","55","77","55"
"191","8,17","99098","23","1","24/02/2024","1","5","154","139","103","1","154","139","103","139"
"192","13,46","99100","23","1","08/04/2024","1","4","110","88","111","1","110","88","111","88"
"193","37,9","99104","23","1","29/04/2024","1","3","89","123","164","1","89","123","164","123"
"194","32,86","99107","23","1","16/04/2024","1","4","105","124","156","1","105","124","156","124"
"195","18,52","99112","23","1","06/05/2024","1","3","82","89","120","1","82","89","120","89"
"196","18,17","99114","23","1","26/03/2024","1","5","137","121","127","1","137","121","127","121"
"197","-4,33","99115","23","1","07/05/2024","1","3","81","53","71","1","81","53","71","53"
"198","43,68","99119","23","1","04/04/2024","1","5","137","156","163","1","137","156","163","156"
"199","11,84","99120","23","1","16/04/2024","1","4","105","86","104","1","105","86","104","86"
"200","35,59","99121","23","1","28/04/2024","1","4","105","105","146","1","105","105","146","105"
"201","42,6","99122","23","1","30/03/2024","1","5","137","136","124","1","137","136","124","136"
"202","45,37","99123","23","1","23/04/2024","1","4","105","108","144","1","105","108","144","108"
"203","31,44","99124","23","1","30/03/2024","1","5","137","135","143","1","137","135","143","135"
"204","13,08","99126","23","1","20/03/2024","1","5","137","122","123","1","137","122","123","122"
"205","26,06","99128","23","1","01/03/2024","1","5","148","196","180","1","148","196","180","196"
