"","valgen","crotal","cana","crotalM","crotalP","npartosULT","fechapartoULT","nvivosULT","nmuertosULT","ncontrULT","diasULT","ordeULT","tipoULT","laPROM","diasPROM","orderPROM","tipoPROM","acumPROM"
"191","45,66","56402","19","40621","71145","4","05/01/2024","2",NA,"6","204","180","176","4","159","174","176","694"
"192","9,16","56404","19","55668",NA,"5","26/01/2024","2",NA,"5","183","","","168","155","153",NA,""
"193","-9,55","56409","19","8598","64876","4","28/01/2024","2",NA,"6","181","122","122","4","180","126","120","505"
"194","12","56410","19","55666","30224","4","07/01/2024","1",NA,"6","202","203","141","4","178","196","166","782"
"195","-7,94","56411","19","8658","64899","3","",NA,NA,"","","","","165","139","139",NA,""
"196","21,5","56412","19","83416","98532","4","08/01/2024","1",NA,"6","201","173","171","4","171","174","184","697"
"197","54,94","56413","19","40601","30105","4","05/01/2024","2",NA,"4","144","202","262","4","157","203","218","813"
"198","37,89","56414","19","33885","20052","4","03/01/2024","2",NA,"6","206","242","188","4","157","227","187","906"
"199","2,46","56415","19","55676","98510","5","09/01/2024","1",NA,"4","140","68","96","5","145","121","116","604"
"200","4,29","56416","19","40638",NA,"3","",NA,NA,"","","","","174","214","155",NA,""
"201","19,76","56418","19","33820",NA,"5","07/01/2024","2",NA,"6","202","207","220","4","182","192","179","769"
"202","-3,55","56420","19","40667",NA,"5","23/01/2024","1","1","1","29","","","165","161","125",NA,""
"203","-2,45","56422","19","40617","71064","5","22/01/2024","1",NA,"6","187","99","102","3","176","136","109","408"
"204","1,96","56423","19","33896","71145","4","07/01/2024","1","1","6","202","143","104","3","183","173","125","518"
"205","3,12","56424","19","83385",NA,"5","21/01/2024","1",NA,"6","188","164","158","4","184","178","145","712"
"206","28,36","56428","19","30597","71064","4","27/01/2024","2",NA,"6","182","283","252","3","152","208","185","625"
"207","14,33","56429","19","30606",NA,"5","04/01/2024","2",NA,"6","205","254","211","3","188","223","184","669"
"208","9,13","56431","19","40689","60357","5","23/01/2024","2",NA,"6","186","201","171","4","173","188","164","753"
"209","-4,25","56437","19","30580","64878","4","13/01/2024","1",NA,"5","165","174","143","4","156","135","115","541"
"210","-4,44","56438","19","33825","71108","4","",NA,NA,"","","","","147","120","122",NA,""
"211","2,56","56441","19","40686","40086","4","05/01/2024","2",NA,"4","144","147","174","3","165","159","158","478"
"212","5,29","56442","19","8662","98510","4","08/01/2024","2","1","1","44","","","168","148","144",NA,""
"213","-9,21","56446","19","40650","64888","4","25/01/2024","1",NA,"6","184","153","144","4","166","139","118","555"
"214","25,86","56448","19","40685","71064","5","06/01/2024","1",NA,"6","203","211","205","4","188","198","174","792"
"215","27","56449","19","33893",NA,"5","09/01/2024","1",NA,"6","200","225","225","4","184","222","202","887"
"216","41,38","56450","19","30602","71064","5","07/01/2024","1","1","6","202","263","244","5","169","189","160","946"
"217","25,04","56454","19","40679","20052","5","07/01/2024","1",NA,"2","79","","","168","200","173",NA,""
"218","5,29","56456","19","8619",NA,"5","08/01/2024","2",NA,"4","141","118","124","5","157","144","141","722"
"219","-1,05","56457","19","30600",NA,"4","03/01/2024","2",NA,"6","206","162","117","3","194","196","161","588"
"220","15,4","56458","19","40617","71064","4","05/01/2024","3",NA,"6","204","213","199","4","173","194","169","774"
"221","-9,49","56460","19","8589","64888","5","10/02/2024","1",NA,"","","","","164","138","105",NA,""
"222","-12,84","56465","19","83383","64899","5","07/01/2024","2","1","4","142","70","66","4","125","103","107","412"
"223","5,67","56475","19","40625","71102","5","07/01/2024","1","1","","","","","178","213","150",NA,""
"224","16,11","72300","22",NA,NA,"2","10/01/2024","1",NA,"6","199","237","224","2","168","175","177","349"
"225","41,26","72301","22","80624","65018","1","11/01/2024","1",NA,"6","198","245","198","1","198","245","198","245"
"226","19,49","72302","22","7735","91235","1","29/01/2024","1",NA,"3","89","57","94","1","89","57","94","57"
"227","23,91","72303","22","55698","2123","2","05/01/2024","1",NA,"6","204","217","192","2","179","189","172","378"
"228","","72304","22","56436","91219","*** VACIA ***","",NA,NA,"","","","","","","",NA,""
"229","12,64","72306","22","40601",NA,"1","25/01/2024","1",NA,"6","184","196","158","1","184","196","158","196"
"230","","72307","22","83392",NA,"1","09/02/2024","1","1","","","","","","","",NA,""
"231","15,12","72308","22","56435",NA,"2","10/02/2024","1",NA,"6","171","181","187","1","171","181","187","181"
"232","11,53","72309","22","80683","2148","1","10/03/2024","1",NA,"5","139","154","121","1","139","154","121","154"
"233","58,08","72311","22","7725","98595","1","23/01/2024","2",NA,"6","186","301","272","1","186","301","272","301"
"234","5,31","72312","22","56436","91219","1","07/01/2024","1",NA,"6","202","128","73","1","202","128","73","128"
"235","18,1","72314","22","8625","64878","2","12/03/2024","1",NA,"5","137","153","163","2","137","125","127","250"
"236","3,48","72315","22","80628","91218","1","04/01/2024","1",NA,"4","145","95","110","1","145","95","110","95"
"237","27,07","72316","22","8618","65018","1","07/01/2024","1",NA,"6","202","239","165","1","202","239","165","239"
"238","","72317","22","83412",NA,"1","09/02/2024","1",NA,"","","","","","","",NA,""
"239","","72318","22","56395","2122","1","24/01/2024","1",NA,"","","","","","","",NA,""
"240","2,55","72319","22",NA,NA,"1","23/04/2024","1",NA,"4","105","104","141","1","105","104","141","104"
"241","-5,06","72321","22",NA,NA,"1","24/01/2024","1",NA,"6","185","165","132","1","185","165","132","165"
"242","3,97","72322","22","56446",NA,"1","09/02/2024","1",NA,"5","169","137","113","1","169","137","113","137"
"243","","72323","22","40662",NA,"1","05/01/2024","1",NA,"2","81","","","","","",NA,""
"244","","72324","22","56457","2181","1","10/02/2024","1",NA,"","","","","","","",NA,""
"245","16,32","72325","22","80631","2157","2","15/03/2024","1",NA,"5","137","162","158","2","138","132","131","264"
"246","35,26","72326","22","55697","2122","1","06/01/2024","1",NA,"6","203","261","210","1","203","261","210","261"
"247","","72329","22","30564",NA,"1","07/01/2024","2","1","","","","","","","",NA,""
"248","","72330","22","8578",NA,"1","10/02/2024","1",NA,"","","","","","","",NA,""
"249","18,22","72331","22","83388","64878","1","05/01/2024","2","1","6","204","169","139","1","204","169","139","169"
"250","-5,19","72332","22",NA,NA,"2","15/03/2024","1",NA,"5","137","143","139","2","123","107","116","214"
"251","22,08","72333","22","56461","2122","1","09/01/2024","1",NA,"6","200","136","122","1","200","136","122","136"
"252","14,43","72334","22","56384","65023","2","08/01/2024","3","3","","","","","140","97","92",NA,""
"253","4,56","72337","22","8627",NA,"1","08/01/2024","1",NA,"6","201","160","122","1","201","160","122","160"
"254","28,22","72338","22","80690","2148","2","02/02/2024","1",NA,"6","176","183","208","1","176","183","208","183"
"255","31,15","72339","22","56449","65018","1","09/01/2024","2",NA,"6","200","231","161","1","200","231","161","231"
"256","17,39","72340","22",NA,NA,"1","08/01/2024","3","1","6","201","265","216","1","201","265","216","265"
"257","17,7","72342","22","83384","2123","1","07/01/2024","2",NA,"6","202","222","145","1","202","222","145","222"
"258","14,25","72343","22","80654","65024","1","26/01/2024","1",NA,"6","183","225","155","1","183","225","155","225"
"259","16,34","72344","22","83421","2157","2","28/03/2024","1",NA,"5","137","159","156","2","123","129","135","258"
"260","11,5","72345","22","80691",NA,"1","25/01/2024","1",NA,"6","184","219","177","1","184","219","177","219"
"261","28,46","72346","22","56387","65018","1","08/01/2024","1",NA,"6","201","156","93","1","201","156","93","156"
"262","21,88","72347","22","56451",NA,"1","06/01/2024","2",NA,"6","203","191","159","1","203","191","159","191"
"263","12,6","72348","22","56384","65023","2","07/01/2024","1",NA,"5","202","154","134","1","202","154","134","154"
"264","17,88","72349","22","55690","51527","1","19/04/2024","1",NA,"4","105","104","144","1","105","104","144","104"
"265","32,9","72350","22","7750","91233","1","01/02/2024","1",NA,"6","177","239","217","1","177","239","217","239"
"266","11,2","72351","22","56409","2157","1","08/01/2024","1",NA,"6","201","174","135","1","201","174","135","174"
"267","-3,29","72352","22","8619",NA,"1","06/02/2024","1",NA,"5","172","125","97","1","172","125","97","125"
"268","33,2","72353","22","7733","91235","1","08/02/2024","1",NA,"6","171","193","193","1","171","193","193","193"
"269","23,88","72354","22","7734",NA,"1","28/04/2024","1",NA,"4","105","74","95","1","105","74","95","74"
"270","50,87","72355","22","56470","65024","2","09/01/2024","2",NA,"4","140","197","215","2","152","188","186","375"
"271","31,5","72356","22","56418","2157","2","06/01/2024","2","1","6","203","224","194","2","184","178","166","355"
"272","6,01","72357","22","56472","91219","1","10/01/2024","1",NA,"6","199","126","102","1","199","126","102","126"
"273","","72358","22","14780",NA,"1","11/01/2024","1",NA,"1","41","","","","","",NA,""
"274","35,97","72359","22","7768","91219","1","07/01/2024","2",NA,"6","202","219","221","1","202","219","221","219"
"275","","72360","22","55682","2122","1","04/01/2024","1","1","","","","","","","",NA,""
"276","","72361","22","83426","2181","1","",NA,NA,"","","","","","","",NA,""
"277","","72362","22","8618","65018","*** VACIA ***","",NA,NA,"","","","","","","",NA,""
